"","Var1","Freq","categ","regio","logfreq"
"1","Afghanistan",11994,"2","6",9.39224517527379
"2","Albania",76,"2","9",4.34380542185368
"3","Algeria",2630,"3","10",7.87511928104029
"4","Andorra",0,"1","8",0
"5","Angola",462,"3","11",6.13772705408623
"6","Antigua and Barbuda",0,"2","2",0
"7","Argentina",737,"2","3",6.60394382460047
"8","Armenia",23,"3","7",3.17805383034795
"9","Australia",110,"1","12",4.70953020131233
"10","Austria",110,"1","8",4.70953020131233
"11","Azerbaijan",48,"3","7",3.89182029811063
"12","Bahamas",5,"2","2",1.79175946922805
"13","Bahrain",204,"3","10",5.32300997913841
"14","Bangladesh",1607,"2","6",7.38274644973891
"15","Barbados",3,"2","2",1.38629436111989
"16","Belarus",12,"2","9",2.56494935746154
"17","Belgium",146,"1","8",4.99043258677874
"18","Belize",8,"2","2",2.19722457733622
"19","Benin",7,"3","11",2.07944154167984
"20","Bhutan",5,"2","6",1.79175946922805
"21","Bolivia",280,"2","3",5.63835466933375
"22","Bosnia-Herzegovina",156,"2","9",5.05624580534831
"23","Botswana",8,"3","11",2.19722457733622
"24","Brazil",253,"2","3",5.53733426701854
"25","Brunei",6,"2","5",1.94591014905531
"26","Bulgaria",51,"2","9",3.95124371858143
"27","Burkina Faso",49,"3","11",3.91202300542815
"28","Burundi",572,"3","11",6.35088571671474
"29","Cambodia",246,"2","5",5.50938833662798
"30","Cameroon",259,"3","11",5.56068163101553
"31","Canada",95,"1","1",4.56434819146784
"32","Central African Republic",222,"3","11",5.40717177146012
"33","Chad",75,"3","11",4.33073334028633
"34","Chile",1952,"2","3",7.57712193087668
"35","China",239,"1","4",5.48063892334199
"36","Colombia",7722,"2","3",8.95195816856926
"37","Comoros",5,"3","11",1.79175946922805
"38","Costa Rica",54,"2","2",4.00733318523247
"39","Croatia",57,"2","9",4.06044301054642
"40","Cuba",30,"2","2",3.43398720448515
"41","Cyprus",130,"1","8",4.87519732320115
"42","Czech Republic",32,"2","9",3.49650756146648
"43","Czechoslovakia",10,"2","9",2.39789527279837
"44","Democratic Republic of the Congo",584,"3","11",6.37161184723186
"45","Denmark",39,"1","8",3.68887945411394
"46","Djibouti",20,"3","11",3.04452243772342
"47","Dominica",2,"2","2",1.09861228866811
"48","Dominican Republic",88,"2","2",4.48863636973214
"49","East Germany (GDR)",24,"2","9",3.2188758248682
"50","East Timor",9,"2","5",2.30258509299405
"51","Ecuador",206,"2","3",5.33271879326537
"52","Egypt",2433,"3","10",7.79729127354747
"53","El Salvador",3901,"2","2",8.26924452118306
"54","Equatorial Guinea",2,"3","11",1.09861228866811
"55","Eritrea",9,"3","11",2.30258509299405
"56","Estonia",16,"2","9",2.83321334405622
"57","Ethiopia",165,"3","11",5.11198778835654
"58","Falkland Islands",0,"2","3",0
"59","Fiji",17,"1","12",2.89037175789616
"60","Finland",19,"1","8",2.99573227355399
"61","France",2509,"1","8",7.82803803212583
"62","French Guiana",5,"2","3",1.79175946922805
"63","French Polynesia",3,"1","12",1.38629436111989
"64","Gabon",8,"3","11",2.19722457733622
"65","Gambia",3,"3","11",1.38629436111989
"66","Georgia",214,"3","7",5.37063802812766
"67","Germany",735,"1","8",6.60123011872888
"68","Ghana",19,"3","11",2.99573227355399
"69","Greece",1247,"1","8",7.12929754892937
"70","Grenada",5,"2","2",1.79175946922805
"71","Guadeloupe",45,"2","2",3.8286413964891
"72","Guatemala",1699,"2","2",7.43838353004431
"73","Guinea",20,"3","11",3.04452243772342
"74","Guinea-Bissau",8,"3","11",2.19722457733622
"75","Guyana",25,"2","3",3.25809653802148
"76","Haiti",210,"2","2",5.35185813347607
"77","Honduras",291,"2","2",5.67675380226828
"78","Hong Kong",26,"1","4",3.29583686600433
"79","Hungary",46,"2","9",3.85014760171006
"80","Iceland",4,"1","8",1.6094379124341
"81","India",11506,"2","6",9.35071082482346
"82","Indonesia",729,"2","5",6.59304453414244
"83","International",1,"3","10",0.693147180559945
"84","Iran",572,"3","10",6.35088571671474
"85","Iraq",23370,"3","10",10.059251216519
"86","Ireland",258,"1","8",5.55682806169954
"87","Israel",2018,"3","10",7.61035761831284
"88","Italy",1465,"1","8",7.2902928824466
"89","Ivory Coast",67,"3","11",4.21950770517611
"90","Jamaica",33,"2","2",3.52636052461616
"91","Japan",375,"1","4",5.92958914338989
"92","Jordan",110,"3","10",4.70953020131233
